"VispuntWID ""WaarnemingWID"" ""Datum"" ""VispuntX"" ""VispuntY"" ""geometry"""
381 811 9122 2012-04-11 63866 217614.01 c(63866, 217614.01)
382 996 9128 2012-05-14 106917 163978.01 c(106917, 163978.01)
383 1359 9130 2012-05-14 104639 163780.01 c(104639, 163780.01)
384 1004 9131 2012-05-14 105623 164466.01 c(105623, 164466.01)
385 1601 9135 2012-05-15 108992 172937.01 c(108992, 172937.01)
386 1313 9136 2012-04-04 168864 167799.01 c(168864, 167799.01)
387 953 9138 2012-05-16 100684 175621.01 c(100684, 175621.01)
388 958 9139 2012-05-16 102409 175196.01 c(102409, 175196.01)
389 951 9141 2012-05-16 107346 170749.01 c(107346, 170749.01)
390 2404 9143 2012-05-08 174475 201797.01 c(174475, 201797.01)
391 2418 9144 2012-05-08 175727 199227.01 c(175727, 199227.01)
392 2401 9145 2012-05-09 177254 196555.01 c(177254, 196555.01)
393 2410 9146 2012-05-09 182401 194973.01 c(182401, 194973.01)
394 2402 9147 2012-05-09 190405 198073.01 c(190405, 198073.01)
395 2426 9148 2012-05-10 199827 203241.01 c(199827, 203241.01)
